City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Mahebourg,-20.4081,57.7,78.8,78,75,8.05,MU,2021-03-16 22:46:33
274,Ilulissat,69.2167,-51.1,10.4,72,75,8.05,GL,2021-03-16 22:43:50
275,Andenes,69.3143,16.1194,30.2,69,90,11.5,NO,2021-03-16 22:48:05
276,Ballina,-28.8667,153.5667,68.0,88,90,12.66,AU,2021-03-16 22:49:04
277,Maridi,4.9158,29.4742,69.91,81,93,5.46,SS,2021-03-16 22:49:05
278,Supe,-10.8,-77.7333,73.17,79,100,8.41,PE,2021-03-16 22:49:05
279,Bay Roberts,47.5999,-53.2648,27.0,79,100,8.99,CA,2021-03-16 22:49:05
280,Kavaratti,10.5669,72.642,82.51,70,6,8.14,IN,2021-03-16 22:46:31
281,Voi,-3.3945,38.563,72.09,88,40,4.0,KE,2021-03-16 22:46:05
282,Payyannur,12.1,75.2,76.53,88,77,3.27,IN,2021-03-16 22:49:06
283,Finspang,58.7058,15.7674,33.8,86,90,4.05,SE,2021-03-16 22:49:06
284,Santa Catarina De Tepehuanes,25.35,-105.7333,69.37,8,0,29.53,MX,2021-03-16 22:49:06
285,Mgandu,-5.95,34.1333,59.65,96,99,4.63,TZ,2021-03-16 22:49:06
286,Antofagasta,-23.65,-70.4,66.2,82,75,14.97,CL,2021-03-16 22:46:19
287,Sao Miguel Do Araguaia,-13.275,-50.1628,75.74,83,90,4.45,BR,2021-03-16 22:49:07
288,Nha Trang,12.25,109.1833,71.6,88,20,4.61,VN,2021-03-16 22:49:07
289,Matara,5.9485,80.5353,75.07,89,92,4.52,LK,2021-03-16 22:49:07
290,Nanortalik,60.1432,-45.2371,27.23,90,100,5.21,GL,2021-03-16 22:47:01
291,Aden,12.7794,45.0367,78.21,73,3,18.75,YE,2021-03-16 22:46:25
292,Tuyen Quang,21.8233,105.2181,73.06,87,99,2.33,VN,2021-03-16 22:49:08
